산학협력관,="0101",102-1,부과원전,최수지
산학협력관,="0313",620,특수연구,권혁기
산학협력관,="0313",910,공공성과관리론,이정은
산학협력관,="0314",724,재활간호특론,이은주
산학협력관,="0401",209,피아노 교수 연구론,김성숙
산학협력관,="0402",205,오장생리론Ⅰ,강경화
산학협력관,="0402",412,인체발생학Ⅱ,박철
산학협력관,="0402",414,중국어강독,신순식
산학협력관,="0402",501,병리학Ⅱ,박신형
산학협력관,="0402",502,본초Ⅲ,김광민
산학협력관,="0402",509,신계내과학Ⅱ,손변우
산학협력관,="0402",512,소아과학및실습Ⅱ,유선애
산학협력관,="0403",207,장기발생학Ⅰ,이용태
산학협력관,="0403",412,의학한문Ⅱ,이상협
산학협력관,="0403",414,중국어강독,신순식
산학협력관,="0403",501,병리학Ⅱ,박신형
산학협력관,="0403",502,본초Ⅲ,김광민
산학협력관,="0403",509,안이비인후과학Ⅱ,윤화정
산학협력관,="0403",512,부인과학및실습Ⅱ,최수지
산학협력관,="0404",206,운동손상증후군,김범회
산학협력관,="0404",412,의학한문Ⅱ,이상협
산학협력관,="0404",501,병리학Ⅱ,박신형
산학협력관,="0404",502,본초Ⅲ,김광민
산학협력관,="0404",509,안이비인후과학Ⅱ,윤화정
산학협력관,="0404",512,부인과학및실습Ⅱ,최수지
산학협력관,="0405",414,의료와사회,김선경
산학협력관,="0406",201,재즈피아노실기,연관호
산학협력관,="0406",301,기악반주법,이동섬
산학협력관,="0406",304,독일딕션과레파토리,최훈녀
산학협력관,="0406",427,뮤지컬레퍼토리Ⅱ,강성우
산학협력관,="0407",201,관현악법Ⅱ,윤상운
산학협력관,="0407",204,Piano StudyⅡ,심정연
산학협력관,="0407",206,전공실기Ⅵ,김세미
산학협력관,="0407",209,전공실기Ⅳ,김성숙
산학협력관,="0407",301,기악반주법,이동섬
산학협력관,="0408",414,인체발생학,박철
산학협력관,="0408",501,양방병리학Ⅱ,신원탁
산학협력관,="0408",502,의사학Ⅱ,문장원
산학협력관,="0408",509,사상체질의학Ⅱ,김종원
산학협력관,="0409",409-1,비병론,윤화정
산학협력관,="0409",501,양방병리학Ⅱ,신원탁
산학협력관,="0409",502,의사학Ⅱ,문장원
산학협력관,="0409",509,사상체질의학Ⅱ,김종원
산학협력관,="0410",214,본초·방제학·병리특론Ⅰ,김철홍
산학협력관,="0410",414,원전의사학·생리특론Ⅱ,신순식
산학협력관,="0410",502,의사학Ⅱ,문장원
산학협력관,="0411",214,본초·방제학·병리특론Ⅰ,김철홍
산학협력관,="0411",414,원전의사학·생리특론Ⅱ,신순식
산학협력관,="0412",510,작곡 기법 I,연관호
산학협력관,="0412",517,미술치료학개론,이지현
산학협력관,="0412",618,통계학,정흥식
산학협력관,="0412",620,메타버스를위한디지털트윈설계,윤태준
산학협력관,="0413",519,논문지도(박)Ⅱ,김유창
산학협력관,="0413",609-1,음악심리재활,이소영
산학협력관,="0413",620,지능로봇설계 및 응용,윤주상
산학협력관,="0414",121,정신간호학실습(산학연계학)Ⅱ,박애영
산학협력관,="0501",302,종양학특론,최영현
산학협력관,="0501",303,경락원리론Ⅰ,원지윤
산학협력관,="0501",412,의역학Ⅱ,이상협
산학협력관,="0501",414,고급한자,이해웅
산학협력관,="0501",502,생리학Ⅱ,강경화
산학협력관,="0501",509,피부외과학Ⅱ,장인욱
산학협력관,="0501",512,비계내과학및실습Ⅱ,김원일
산학협력관,="0502",143,전공실기Ⅱ,박진성
산학협력관,="0502",201,음악분석,주윤영
산학협력관,="0502",204,서양음악의역사Ⅱ,유종호
산학협력관,="0502",215,전공실기Ⅳ,이기녕
산학협력관,="0502",427,지휘법Ⅱ,윤상운
산학협력관,="0503",201,음악분석,주윤영
산학협력관,="0503",210,전공실기Ⅷ,김소형
산학협력관,="0503",418,전공실기Ⅷ,우다연
산학협력관,="0503",427,퓨전앙상블Ⅱ,윤상운
산학협력관,="0504",418,전공실기Ⅳ,우다연
산학협력관,="0505",301,실용합주Ⅱ,하기종
산학협력관,="0505",301,실용합주Ⅳ,하기종
산학협력관,="0505",304,합주(합창)Ⅳ,김화정
산학협력관,="0505",304,합주(합창)실습Ⅱ,김화정
산학협력관,="0505",304,합주(합창)Ⅱ,김화정
산학협력관,="0505",304,합주(합창)실습Ⅳ,김화정
산학협력관,="0505",427,합주(합창)Ⅱ,윤상운
산학협력관,="0505",427,합주(합창)실습Ⅱ,윤상운
산학협력관,="0505",427,합주(합창)실습Ⅳ,윤상운
산학협력관,="0505",427,합주(합창)Ⅳ,윤상운
산학협력관,="0506",205,전공실기Ⅳ,이칠성
산학협력관,="0506",301,실용합주Ⅳ,하기종
산학협력관,="0506",301,실용합주Ⅱ,하기종
산학협력관,="0506",304,합주(합창)Ⅱ,김화정
산학협력관,="0506",304,합주(합창)Ⅳ,김화정
산학협력관,="0506",304,합주(합창)실습Ⅱ,김화정
산학협력관,="0506",304,합주(합창)실습Ⅳ,김화정
산학협력관,="0506",427,합주(합창)실습Ⅳ,윤상운
산학협력관,="0506",427,합주(합창)실습Ⅱ,윤상운
산학협력관,="0506",427,합주(합창)Ⅳ,윤상운
산학협력관,="0506",427,합주(합창)Ⅱ,윤상운
산학협력관,="0507",301,실용합주Ⅱ,하기종
산학협력관,="0507",301,실용합주Ⅳ,하기종
산학협력관,="0507",304,보컬트레이닝Ⅱ,이칠성
산학협력관,="0507",427,오페라클래스Ⅱ,김화정
산학협력관,="0508",301,실용합주Ⅳ,하기종
산학협력관,="0508",301,실용합주Ⅱ,하기종
산학협력관,="0508",427,오페라클래스Ⅱ,김화정
산학협력관,="0509",101,운동요법론Ⅱ,조성우
산학협력관,="0510",110,연속체역학특론,권현식
산학협력관,="0510",511,캡스톤디자인Ⅱ,한창욱
산학협력관,="0510",512,캡스톤디자인Ⅱ,이돈규
산학협력관,="0511",110,연속체역학특론,권현식
산학협력관,="0511",614,창의융합프로젝트Ⅱ,허경용
산학협력관,="0512",614,창의융합프로젝트Ⅱ,허경용
산학협력관,="0513",원격,바이오헬스부트캠프,
산학협력관,="0601",614,디지털영상처리,허경용
산학협력관,="0602",614,디지털영상처리,허경용
산학협력관,="0603",614,디지털영상처리,허경용
